" 73,427 "," 74,835 "," 79,833 "," 81,942 "," 86,806 "," 108,495 "," 105,589 "," 87,423 "," 89,551 "
 74 , 99 , 54 , 65 , -   , -   , -   , -   , -   
" 73,501 "," 74,934 "," 79,887 "," 82,007 "," 86,806 "," 108,495 "," 105,589 "," 87,423 "," 89,551 "
,,,,,,,,
,,,,,,,,
" 3,944 "," 3,758 "," 3,569 "," 3,383 "," 3,167 "," 4,273 "," 4,114 "," 44,365 "," 5,564 "
" 3,867 "," 3,692 "," 3,520 "," 3,330 "," 3,138 "," 4,194 "," 4,029 "," 41,185 "," 5,470 "
77,66,49,53,29,79,85,3180,94
